年份,球员,位置,顺位,模型OVR,官方OVR,三分,速度,扣篮,盖帽,核对
1960,Oscar Robertson,SG,1,88,,72|72|42|37,★
1960,Jerry West,SG,2,85,,80|79|26|32,★
1962,John Havlicek,SF,7,85,,78|77|50|45,★
1962,Don Nelson,SF,1,68,,67|46|48|40,★
1965,Rick Barry,SF,2,90,,79|79|64|58,★
1965,Billy Cunningham,PF,5,86,,65|72|81|60,★
1965,Bob Love,PF,6,83,,|||,
1965,Jerry Sloan,SG,6,83,,|||,
1965,Bill Bradley,SF,0,81,,|||,
1965,Gail Goodrich,PG,0,81,,|||,
1965,Dick Van Arsdale,SG,32,80,,|||,
1965,Fred Hetzel,PF,1,79,,|||,
1965,Keith Erickson,SF,1,73,,|||,
1965,Jon McGlocklin,SF,7,69,,|||,
1969,Kareem Abdul-Jabbar,C,1,85,,26|70|54|76,★
1969,Jo Jo White,PG,9,80,,74|90|60|36,★
1969,Bingo Smith,SG,6,78,,|||,
1969,Bob Dandridge,SF,2,77,,|||,
1969,Lucius Allen,PG,3,77,,|||,
1969,Willie McCarter,SG,12,75,,|||,
1969,Steve Mix,SF,4,73,,|||,
1969,Rick Roberson,PF,15,71,,|||,
1969,Luther Rackley,C,8,68,,|||,
1969,Eddie Mast,PF,11,64,,|||,
1970,Dave Cowens,PF,4,87,,66|62|58|52,★
1970,Bob Lanier,C,1,85,,54|61|51|66,★
1970,Calvin Murphy,PG,31,82,,|||,
1970,Dan Issel,PF,3,82,,|||,
1970,Nate Archibald,PG,32,82,,|||,
1970,Pete Maravich,SG,3,80,,|||,
1970,Rudy Tomjanovich,PF,2,80,,|||,
1970,Charlie Scott,PG,4,77,,|||,
1970,Geoff Petrie,SG,8,77,,|||,
1970,Greg Fillmore,C,17,67,,|||,
1972,Paul Westphal,SG,10,92,,85|75|48|30,★
1974,Jamaal Wilkes,SF,11,85,,62|79|76|35,★
1974,Bill Walton,C,1,81,,31|36|45|83,★
1974,Bobby Jones,PF,5,79,,|||,
1974,George Gervin,SG,4,78,,|||,
1974,Maurice Lucas,PF,14,78,,|||,
1974,Brian Winters,SG,12,77,,|||,
1974,Campy Russell,PF,8,77,,|||,
1974,Truck Robinson,SF,34,76,,|||,
1974,Scott Wedman,SF,6,74,,|||,
1974,Harvey Catchings,PF,6,66,,|||,
1976,Adrian Dantley,SF,6,87,,60|82|77|30,★
1976,Moses Malone,C,0,84,,33|74|87|65,★
1976,Alex English,SF,36,83,,|||,
1976,Robert Parish,C,8,78,,|||,
1976,Dennis Johnson,SG,42,76,,|||,
1977,Bernard King,SF,7,88,,56|82|84|66,★
1977,Jack Sikma,C,8,85,,68|58|58|72,★
1977,Walter Davis,SF,5,79,,|||,
1977,Marques Johnson,SF,3,77,,|||,
1977,Otis Birdsong,SG,2,77,,|||,
1977,Norm Nixon,PG,22,73,,|||,
1977,Tree Rollins,C,14,73,,|||,
1977,James Edwards,C,2,72,,|||,
1977,Brad Davis,PG,15,70,,|||,
